EMDB ID,Resolution (Angstrom),FittedPDBs,PDBvolnoGMM,Multiplier,,PDBvol50,PDBvol100,PDBvol150,PDBvol200,EMvol50,EMvol100,EMvol150,EMvol200,PDBvol50wmult,PDBvol100wmult,PDBvol150wmult,PDBvol200wmult
emd_7817,3.92,6d6u,311793.822,1,6d6u,324438.47,317947.84,316542.28,312615.94,295669.31,286781.5,273155.59,267316.28,324438.47,317947.84,316542.28,312615.94
emd_7453,4.27,6d83,297436.3757,1,6d83,310319.06,310311.47,305981.5,303212.5,218586.56,182468.05,159150.22,145968.05,310319.06,310311.47,305981.5,303212.5
emd_7869,3.5,6ddf,117105.515,1,6ddf,113468.46,114335.89,111629.43,109432.4,99276.64,93575.35,87224.65,80473.55,113468.46,114335.89,111629.43,109432.4
emd_8912,3.11,6du8,229728.9749,1,6du8,227672.36,220898.47,216949.36,212952.84,122327.95,103200.27,89895.42,82055.48,227672.36,220898.47,216949.36,212952.84
emd_9013,3.4,6e9e,141079.618,1,6e9e,136411.81,130172.07,124231.88,121070.09,83963.51,64988.82,57197.04,52205.3,136411.81,130172.07,124231.88,121070.09
emd_9014,3.3,6e9f,145463.8103,1,6e9f,139004.97,134677.86,130651.57,128532.17,91652.14,73090.89,62763.82,55241.41,139004.97,134677.86,130651.57,128532.17
emd_3908,3.55,6eoj,238233.3591,1,6eoj,222697.84,224486.89,221426.39,220174.44,143346.11,132800.17,123825.48,116738.34,222697.84,224486.89,221426.39,220174.44
emd_3983,4.22,6eyd,400848.5703,1,6eyd,404967.25,408190.91,404614,402376.06,325060.84,315800.97,301841.97,291197.16,404967.25,408190.91,404614,402376.06
emd_3999,3.1,6ezj,611787.0925,1,6ezj,603612.44,615942.75,605005.81,600084.12,470761.06,449404.47,442519.78,421805.09,603612.44,615942.75,605005.81,600084.12
emd_4192,3.81,6f6w,376659.6042,1,6f6w,372105.44,378525.88,378160.44,374980.62,295202.16,290427.06,278442.84,272985.66,372105.44,378525.88,378160.44,374980.62
emd_4241,4.1,6fe8,219641.8333,1,6fe8,220091.14,216533.86,211211.02,207023.73,159635,136007.33,125234.85,119615.17,220091.14,216533.86,211211.02,207023.73
emd_4339,3.6,6g1k,367771.1812,1,6g1k,358886.59,356537.66,348892.38,344075.38,278471.94,242389.3,222718.19,205566.17,358886.59,356537.66,348892.38,344075.38
emd_0051,4.2,6gsa,282438.5918,1,6gsa,306532.84,303166.88,300992.78,296935.62,229761.22,210846.42,199607.66,195282.03,306532.84,303166.88,300992.78,296935.62
emd_0310,3.6,6hz4,319553.9703,1,6hz4,303645.75,305373.38,307898.94,306423.34,223793.8,210098.12,198975.36,188142.64,303645.75,305373.38,307898.94,306423.34
emd_0311,4.2,6hz5,601665.938,1,6hz5,581644.44,595929,597988.81,600327.25,479311.78,445799.12,415165.25,376856.22,581644.44,595929,597988.81,600327.25
emd_0312,4.3,6hz6,601585.8991,1,6hz6,578416.38,596294.69,598216.62,598684.5,455212.97,420079.41,374891.91,348784.34,578416.38,596294.69,598216.62,598684.5
